Reference, Date, Value
USD-SOFR,2020-03-27,1.000000000139778E-4
USD-SOFR,2020-03-30,7.862121317181447E-4
USD-SOFR,2020-03-31,7.862121316382087E-4
USD-SOFR,2020-04-01,7.862121316382087E-4
USD-SOFR,2020-04-02,7.862121316382087E-4
USD-SOFR,2020-04-03,7.86213848691375E-4
USD-SOFR,2020-04-06,7.862121316382087E-4
USD-SOFR,2020-04-07,7.862121316382087E-4
USD-SOFR,2020-04-08,7.862121316382087E-4
USD-SOFR,2020-04-09,7.862147071979741E-4
USD-SOFR,2020-04-13,7.862121316382087E-4
USD-SOFR,2020-04-14,7.862121317181447E-4
USD-SOFR,2020-04-15,7.862121316382087E-4
USD-SOFR,2020-04-16,7.862121316382087E-4
USD-SOFR,2020-04-17,7.86213848691375E-4
USD-SOFR,2020-04-20,7.862121316382087E-4
USD-SOFR,2020-04-21,7.862121316382087E-4
USD-SOFR,2020-04-22,7.862121316382087E-4
USD-SOFR,2020-04-23,7.862121317181447E-4
USD-SOFR,2020-04-24,7.86213848691375E-4
USD-SOFR,2020-04-27,7.862121317181447E-4
USD-SOFR,2020-04-28,7.862121316382087E-4
USD-SOFR,2020-04-29,0.001199075111122383
USD-SOFR,2020-04-30,0.001199075111122383
USD-SOFR,2020-05-01,0.0011990791049409921
USD-SOFR,2020-05-04,0.001199075111042447
USD-SOFR,2020-05-05,0.001199075111122383
USD-SOFR,2020-05-06,0.001199075111122383
USD-SOFR,2020-05-07,0.001199075111042447
USD-SOFR,2020-05-08,0.0011990791049409921
USD-SOFR,2020-05-11,0.001199075111122383
USD-SOFR,2020-05-12,0.001199075111122383
USD-SOFR,2020-05-13,0.001199075111122383
USD-SOFR,2020-05-14,0.001199075111122383
USD-SOFR,2020-05-15,0.0011990791049409921
USD-SOFR,2020-05-18,0.001199075111122383
USD-SOFR,2020-05-19,0.001199075111122383
USD-SOFR,2020-05-20,0.001199075111122383
USD-SOFR,2020-05-21,0.001199075111122383
USD-SOFR,2020-05-22,0.0011990811018702807
USD-SOFR,2020-05-26,0.001199075111122383
USD-SOFR,2020-05-27,0.001199075111122383
USD-SOFR,2020-05-28,0.001199075111042447
USD-SOFR,2020-05-29,0.0011990791049676375
USD-SOFR,2020-06-01,0.001199075111122383
USD-SOFR,2020-06-02,0.001199075111042447
USD-SOFR,2020-06-03,0.001199075111122383
USD-SOFR,2020-06-04,0.001199075111042447
USD-SOFR,2020-06-05,0.0011990791049676375
USD-SOFR,2020-06-08,0.001199075111122383
USD-SOFR,2020-06-09,0.001199075111042447
USD-SOFR,2020-06-10,8.913662450549253E-4
USD-SOFR,2020-06-11,8.913662450549253E-4
USD-SOFR,2020-06-12,8.913684521427712E-4
USD-SOFR,2020-06-15,8.913662451348614E-4
USD-SOFR,2020-06-16,8.913662451348614E-4
USD-SOFR,2020-06-17,8.913662450549253E-4
USD-SOFR,2020-06-18,8.913662450549253E-4
USD-SOFR,2020-06-19,8.913684521427712E-4
USD-SOFR,2020-06-22,8.913662451348614E-4
USD-SOFR,2020-06-23,8.913662450549253E-4
USD-SOFR,2020-06-24,8.913662451348614E-4
USD-SOFR,2020-06-25,8.913662451348614E-4
USD-SOFR,2020-06-26,8.913684521427712E-4
USD-SOFR,2020-06-29,8.913662450549253E-4
USD-SOFR,2020-06-30,8.913662451348614E-4
USD-SOFR,2020-07-01,8.913662450549253E-4
USD-SOFR,2020-07-02,8.913695556667101E-4
USD-SOFR,2020-07-06,8.913662450549253E-4
USD-SOFR,2020-07-07,8.913662451348614E-4
USD-SOFR,2020-07-08,8.913662450549253E-4
USD-SOFR,2020-07-09,8.913662451348614E-4
USD-SOFR,2020-07-10,8.913684521427712E-4
USD-SOFR,2020-07-13,8.913662450549253E-4
USD-SOFR,2020-07-14,8.913662450549253E-4
USD-SOFR,2020-07-15,8.913662451348614E-4
USD-SOFR,2020-07-16,8.913662450549253E-4
USD-SOFR,2020-07-17,8.913684521427712E-4
USD-SOFR,2020-07-20,8.913662450549253E-4
USD-SOFR,2020-07-21,8.913662451348614E-4
USD-SOFR,2020-07-22,8.913662450549253E-4
USD-SOFR,2020-07-23,8.913662451348614E-4
USD-SOFR,2020-07-24,8.913684521427712E-4
USD-SOFR,2020-07-27,8.913662451348614E-4
USD-SOFR,2020-07-28,8.913662451348614E-4
USD-SOFR,2020-07-29,8.913662451348614E-4
USD-SOFR,2020-07-30,8.913662450549253E-4
USD-SOFR,2020-07-31,8.913684521427712E-4
USD-SOFR,2020-08-03,8.913662451348614E-4
USD-SOFR,2020-08-04,8.913662450549253E-4
USD-SOFR,2020-08-05,8.913662451348614E-4
USD-SOFR,2020-08-06,8.913662450549253E-4
USD-SOFR,2020-08-07,8.913684521427712E-4
USD-SOFR,2020-08-10,8.913662451348614E-4
USD-SOFR,2020-08-11,8.913662450549253E-4
USD-SOFR,2020-08-12,8.913662450549253E-4
USD-SOFR,2020-08-13,8.913662451348614E-4
USD-SOFR,2020-08-14,8.913684521427712E-4
USD-SOFR,2020-08-17,8.913662450549253E-4
USD-SOFR,2020-08-18,8.913662451348614E-4
